entity_number,name,alt_names,addresses,country,federal_register_notice,license_requirement,license_policy
BIS-067,China State Shipbuilding Corporation,CSSC,"Beijing",CN,87 FR 6022,All items subject to EAR,Presumption of denial
BIS-068,China Aerospace Science and Technology Corporation,CASC,"Beijing",CN,87 FR 6022,All items subject to EAR,Presumption of denial
BIS-069,China Aerospace Science and Industry Corporation,CASIC,"Beijing",CN,87 FR 6022,All items subject to EAR,Presumption of denial
BIS-070,National Engineering Research Center for Quantum Computing,QC Beijing,"Beijing",CN,87 FR 73719,Items subject to EAR,Presumption of denial
BIS-071,Beijing AOSC Holdings,AOSC,"Beijing",CN,88 FR 18988,Items subject to EAR,Case by case
BIS-072,Wuxi Tongding Information Technology,Tongding,"Wuxi Jiangsu",CN,87 FR 73719,Items subject to EAR,Presumption of denial
BIS-073,Russian Federal Security Service Linked Entity,FSB-X,"Moscow Russia",RU,87 FR 31195,All items subject to EAR,Policy of denial
BIS-074,Belarusian KGB Linked Entity,KGB-B,"Minsk Belarus",BY,87 FR 31195,All items subject to EAR,Policy of denial
BIS-075,Iran Revolutionary Guard Affiliated Entity,IRGC-AE,"Tehran Iran",IR,86 FR 12529,All items subject to EAR,Presumption of denial
BIS-076,Burmese Ministry of Defence,Tatmadaw,"Naypyidaw Myanmar",MM,86 FR 5867,All items subject to EAR,Presumption of denial
BIS-077,Cuba Trading Company,CTC,"Havana Cuba",CU,72 FR 33646,All items subject to EAR,Policy of denial
BIS-078,Venezuela Direct Aircraft,VDA,"Caracas Venezuela",VE,86 FR 47770,All items subject to EAR,Policy of denial
BIS-079,Bank of China Aviation Subsidiary Fictitious,BOC-AS,"Beijing",CN,DEMO,Items subject to EAR,Demo stub
BIS-080,Shanghai Industrial Trade Co. Ltd.,SITC Shanghai,"Shanghai",CN,DEMO,Items subject to EAR,Demo stub
