uid,name,sdn_type,program,title,remarks
6500,"LIBYAN NATIONAL OIL CORPORATION","ENTITY","LIBYA2","","Tripoli"
6625,"GENERAL DEPARTMENT OF MILITARY INDUSTRIES (Iran)","ENTITY","IRAN","","Tehran"
6750,"ISLAMIC REVOLUTIONARY GUARD CORPS","ENTITY","IRAN,SDGT","","Tehran"
6880,"MAHAN AIR","ENTITY","IRAN,SDGT","","Tehran"
7000,"IRAN AIR","ENTITY","IRAN","","Tehran"
7125,"NATIONAL IRANIAN GAS COMPANY","ENTITY","IRAN","","Tehran"
7260,"BANK MARKAZI IRAN","ENTITY","IRAN","","Tehran"
7385,"PETROCHEMICAL COMMERCIAL COMPANY","ENTITY","IRAN","","Tehran"
7500,"FOREIGN TRADE BANK OF DPRK","ENTITY","DPRK","","Pyongyang"
7625,"AIR KORYO","ENTITY","DPRK","","Pyongyang"
7750,"KOREA TANGUN TRADING CORPORATION","ENTITY","NPWMD","","Pyongyang"
7880,"RECONNAISSANCE GENERAL BUREAU (DPRK)","ENTITY","DPRK","","Pyongyang"
8000,"LAZARUS GROUP","ENTITY","NPWMD,CYBER","","DPRK-affiliated"
8125,"BUREAU 121","ENTITY","NPWMD,CYBER","","DPRK-affiliated"
8260,"KIM CHOL SAM","INDIVIDUAL","DPRK","","Pyongyang"
8385,"GHODS AVIATION INDUSTRIES","ENTITY","IRAN","","Tehran"
8500,"SHAHID HEMMAT INDUSTRIAL GROUP","ENTITY","IRAN,NPWMD","","Tehran"
8625,"SHAHID BAGHERI INDUSTRIAL GROUP","ENTITY","IRAN,NPWMD","","Tehran"
8750,"PARS AVIATION SERVICES COMPANY","ENTITY","IRAN","","Tehran"
8880,"ASKARI BANK","ENTITY","SDGT","",""
9000,"BANK OF CHINA AVIATION SUBSIDIARY (FICTIONAL)","ENTITY","REDACTED","","NOT A REAL ENTRY - DEMO STUB"
9125,"HUAWEI TECHNOLOGIES CO. LTD.","ENTITY","RUSSIA-EO14024","","Various"
9260,"HIKVISION DIGITAL TECHNOLOGY","ENTITY","NS-CMIC","","Hangzhou"
9385,"DAHUA TECHNOLOGY","ENTITY","NS-CMIC","","Hangzhou"
9500,"INSPUR GROUP","ENTITY","ENTITY","","Beijing"
9625,"YANGTZE MEMORY TECHNOLOGIES","ENTITY","CHIPS-CMIC","","Wuhan"
9750,"CHANGXIN MEMORY TECHNOLOGIES","ENTITY","CHIPS-CMIC","","Hefei"
9880,"SMIC SEMICONDUCTOR MANUFACTURING","ENTITY","CHIPS-CMIC","","Shanghai"
10003,"BANK OF DANDONG","ENTITY","DPRK","","Dandong"
10125,"KOMMERSANT FINANCE","ENTITY","RUSSIA-EO14024","","Moscow"
10260,"GAZPROMBANK","ENTITY","RUSSIA-EO14024","","Moscow"
10385,"NORILSK NICKEL","ENTITY","RUSSIA-EO14024","","Norilsk"
10500,"PROMSVYAZBANK","ENTITY","RUSSIA-EO14024","","Moscow"
10625,"NOVATEK","ENTITY","RUSSIA-EO14024","","Moscow"
10750,"SOVCOMBANK","ENTITY","RUSSIA-EO14024","","Moscow"
10880,"OTKRITIE BANK","ENTITY","RUSSIA-EO14024","","Moscow"
11000,"ROSATOM","ENTITY","RUSSIA-EO14024","","Moscow"
11125,"ALFA-BANK RUSSIA","ENTITY","RUSSIA-EO14024","","Moscow"
11260,"ROSOBORONEXPORT","ENTITY","RUSSIA-EO14024","","Moscow"
11385,"MOSCOW INDUSTRIAL BANK","ENTITY","RUSSIA-EO14024","","Moscow"
11500,"YANDEX TAXI BV","ENTITY","RUSSIA-EO14024","","Various"
11625,"ROSTEC STATE CORPORATION","ENTITY","RUSSIA-EO14024","","Moscow"
11750,"TRANSAVTOMATIKA","ENTITY","RUSSIA-EO14024","","Moscow"
11880,"KASPERSKY LAB","ENTITY","ENTITY","","Moscow"
12000,"ALMAZ-ANTEY","ENTITY","RUSSIA-EO14024","","Moscow"
12125,"PIK GROUP","ENTITY","RUSSIA-EO14024","","Moscow"
12260,"ROSGEOLOGIA","ENTITY","RUSSIA-EO14024","","Moscow"
12385,"TATNEFT","ENTITY","RUSSIA-EO14024","","Almetyevsk"
12500,"NLMK GROUP","ENTITY","RUSSIA-EO14024","","Lipetsk"
12625,"MAGNITOGORSK IRON AND STEEL WORKS","ENTITY","RUSSIA-EO14024","","Magnitogorsk"
12750,"SEVERSTAL","ENTITY","RUSSIA-EO14024","","Cherepovets"
12880,"MMK GROUP","ENTITY","RUSSIA-EO14024","","Magnitogorsk"
13000,"EVRAZ HOLDING","ENTITY","RUSSIA-EO14024","","Moscow"
13125,"CHELYABINSK PIPE PLANT","ENTITY","RUSSIA-EO14024","","Chelyabinsk"
13260,"URALCHEM","ENTITY","RUSSIA-EO14024","","Moscow"
13385,"PHOSAGRO","ENTITY","RUSSIA-EO14024","","Moscow"
13500,"ACRON GROUP","ENTITY","RUSSIA-EO14024","","Veliky Novgorod"
13625,"ROSSPIRTPROM","ENTITY","RUSSIA-EO14024","","Moscow"
13750,"BANK ROSSIYA","ENTITY","RUSSIA-EO14024","","St. Petersburg"
13880,"INVESTBANK","ENTITY","RUSSIA-EO14024","","Moscow"
14000,"AVTOVAZ","ENTITY","RUSSIA-EO14024","","Tolyatti"
14125,"GAZ GROUP","ENTITY","RUSSIA-EO14024","","Nizhny Novgorod"
14260,"SOLLERS","ENTITY","RUSSIA-EO14024","","Moscow"
14385,"RUSSIAN HELICOPTERS","ENTITY","RUSSIA-EO14024","","Moscow"
14500,"UNITED AIRCRAFT CORPORATION","ENTITY","RUSSIA-EO14024","","Moscow"
14625,"UNITED SHIPBUILDING CORPORATION","ENTITY","RUSSIA-EO14024","","St. Petersburg"
14750,"NUCLEAR INSTITUTE OF DPRK","ENTITY","DPRK,NPWMD","","Pyongyang"
14880,"KOREA MINING AND DEVELOPMENT TRADING CORP","ENTITY","DPRK,NPWMD","","Pyongyang"
15000,"KOREA RYONBONG GENERAL CORPORATION","ENTITY","DPRK,NPWMD","","Pyongyang"
15125,"GREEN PINE ASSOCIATED CORPORATION","ENTITY","DPRK,NPWMD","","Pyongyang"
15260,"OCEAN MARITIME MANAGEMENT","ENTITY","DPRK","","Pyongyang"
