entry_number,name,address,city,province,country,sector,added_date,sublist
UFLPA-027,Xinjiang Tianye Group Co. Ltd.,Shihezi,Shihezi,Xinjiang,CN,Chemicals/Aluminum,2024-09-25,List 4
UFLPA-028,Xinjiang Tianshan Hechuangsheng Engineering Construction Co. Ltd.,Urumqi,Urumqi,Xinjiang,CN,Construction,2024-09-25,List 1
UFLPA-029,Yili Refining and Chemical Co. Ltd.,Yili Hightech Zone,Yining,Xinjiang,CN,Petrochemicals,2024-09-25,List 4
UFLPA-030,Xinjiang Zhuoxiang Mining Co. Ltd.,Xinhe County Industrial Zone,Xinhe,Xinjiang,CN,Mining,2024-09-25,List 4
UFLPA-031,Tongwei Solar Sichuan Co. Ltd.,Chengdu Hightech Zone,Chengdu,Sichuan,CN,Polysilicon,2024-12-11,List 2
UFLPA-032,Xinjiang Hengtai Building Materials Co. Ltd.,Korla Industrial Park,Korla,Xinjiang,CN,Construction materials,2024-12-11,List 1
UFLPA-033,Korla Cotton Textile Industrial Park,Korla Industrial Zone,Korla,Xinjiang,CN,Cotton textiles,2024-12-11,List 1
UFLPA-034,Xinjiang Aoxin Chemical Co. Ltd.,Urumqi Industrial Zone,Urumqi,Xinjiang,CN,Chemicals,2024-12-11,List 1
UFLPA-035,Xinjiang Boyu Energy Co. Ltd.,Karamay Industrial Park,Karamay,Xinjiang,CN,Petrochemicals,2024-12-11,List 4
UFLPA-036,Kashgar Manas Garment Co. Ltd.,Kashgar Economic Zone,Kashgar,Xinjiang,CN,Garments,2025-01-14,List 1
UFLPA-037,Aksu Tianhong Knitting Co. Ltd.,Aksu Industrial Zone,Aksu,Xinjiang,CN,Textiles,2025-01-14,List 1
UFLPA-038,Xinjiang Goldwind Science and Technology Co. Ltd.,Urumqi Industrial Park,Urumqi,Xinjiang,CN,Wind turbines,2025-01-14,List 2
UFLPA-039,Hami Tianhe Mining Co. Ltd.,Hami Industrial Park,Hami,Xinjiang,CN,Mining,2025-04-18,List 4
UFLPA-040,Xinjiang Shenhua Mining Co. Ltd.,Yili Industrial Park,Yining,Xinjiang,CN,Coal,2025-04-18,List 4
UFLPA-041,Hami Industrial Magnesium Co. Ltd.,Hami Hightech Zone,Hami,Xinjiang,CN,Magnesium,2025-04-18,List 4
UFLPA-042,Korla Industrial Tomato Co. Ltd.,Korla Agricultural Park,Korla,Xinjiang,CN,Tomatoes,2025-04-18,List 1
UFLPA-043,Xinjiang Yinlong Trading Co. Ltd.,Urumqi Trade Center,Urumqi,Xinjiang,CN,Trading,2025-04-18,List 1
UFLPA-044,Aksu Agriculture Development Co. Ltd.,Aksu Agricultural Zone,Aksu,Xinjiang,CN,Cotton,2025-04-18,List 1
UFLPA-045,Hotan Industrial Logistics Co. Ltd.,Hotan Industrial Park,Hotan,Xinjiang,CN,Logistics,2025-08-22,List 1
UFLPA-046,Karamay Petrochemical Logistics Co. Ltd.,Karamay Hightech Zone,Karamay,Xinjiang,CN,Petrochemicals,2025-08-22,List 4
UFLPA-047,Xinjiang Tianshan Group Cement Co. Ltd.,Urumqi Industrial Park,Urumqi,Xinjiang,CN,Cement,2025-08-22,List 2
UFLPA-048,Xinjiang Yaxin Chemical Co. Ltd.,Korla Industrial Zone,Korla,Xinjiang,CN,Chemicals,2025-08-22,List 1
UFLPA-049,Hetian Tianshan Cotton Co. Ltd.,Hetian Agricultural Park,Hetian,Xinjiang,CN,Cotton,2025-08-22,List 1
UFLPA-050,Xinjiang Yili Group Dairy Co. Ltd.,Yili Industrial Zone,Yining,Xinjiang,CN,Dairy,2025-08-22,List 2
UFLPA-051,Kashgar Logistics and Transport Co. Ltd.,Kashgar Industrial Zone,Kashgar,Xinjiang,CN,Logistics,2025-11-05,List 1
UFLPA-052,Hotan Solar Materials Co. Ltd.,Hotan Industrial Park,Hotan,Xinjiang,CN,Polysilicon,2025-11-05,List 1
UFLPA-053,Xinjiang Asia Petroleum Holdings,Karamay HQ,Karamay,Xinjiang,CN,Petroleum,2025-11-05,List 4
UFLPA-054,Aksu Yipinhong Garment Co. Ltd.,Aksu Industrial Park,Aksu,Xinjiang,CN,Garments,2026-02-12,List 1
UFLPA-055,Xinjiang Tianhai Marine Logistics Co. Ltd.,Urumqi Logistics Park,Urumqi,Xinjiang,CN,Logistics,2026-02-12,List 1
UFLPA-056,Xinjiang Production and Construction Corps Twelfth Division,Twelfth Division HQ,Urumqi,Xinjiang,CN,Agriculture,2026-02-12,List 1
UFLPA-057,Hami Hetian Garment Industrial Park,Hami Industrial Zone,Hami,Xinjiang,CN,Garments,2026-02-12,List 1
UFLPA-058,Yili Kazak Autonomous Prefecture Logistics Co.,Yining Industrial Park,Yining,Xinjiang,CN,Logistics,2026-02-12,List 1
UFLPA-059,Karamay Mining Equipment Co. Ltd.,Karamay Industrial Zone,Karamay,Xinjiang,CN,Mining equipment,2026-05-14,List 4
UFLPA-060,Xinjiang Tianshan Cement Group,Shihezi Industrial Park,Shihezi,Xinjiang,CN,Cement,2026-05-14,List 2
UFLPA-061,Hotan Yutian Trading Co. Ltd.,Hotan Trade Center,Hotan,Xinjiang,CN,Trading,2026-05-14,List 1
UFLPA-062,Aksu Industrial Cotton Holdings,Aksu Industrial Park,Aksu,Xinjiang,CN,Cotton,2026-05-14,List 1
UFLPA-063,Xinjiang Goldwind Wind Power Service Co. Ltd.,Urumqi Hightech Zone,Urumqi,Xinjiang,CN,Wind power,2026-05-14,List 2
UFLPA-064,Korla Pearl Garments Co. Ltd.,Korla Industrial Zone,Korla,Xinjiang,CN,Garments,2026-05-14,List 1
UFLPA-065,Kashgar Cotton Industrial Park,Kashgar Agricultural Zone,Kashgar,Xinjiang,CN,Cotton,2026-05-14,List 1
UFLPA-066,Xinjiang Tongshen Yarn Co. Ltd.,Aksu Industrial Park,Aksu,Xinjiang,CN,Yarn/Textiles,2026-05-14,List 1
UFLPA-067,Xinjiang Yelong Industrial Co. Ltd.,Korla Industrial Park,Korla,Xinjiang,CN,Industrial goods,2026-05-14,List 1
UFLPA-068,Hotan Building Materials Co. Ltd.,Hotan Industrial Park,Hotan,Xinjiang,CN,Construction materials,2026-05-14,List 1
UFLPA-069,Xinjiang Petrochemical Industrial Co. Ltd.,Karamay Industrial Zone,Karamay,Xinjiang,CN,Petrochemicals,2026-05-14,List 4
UFLPA-070,Xinjiang Hami Mining Group,Hami Industrial Park,Hami,Xinjiang,CN,Mining,2026-05-14,List 4
UFLPA-071,Kashgar Yarn Industrial Co. Ltd.,Kashgar Industrial Park,Kashgar,Xinjiang,CN,Yarn,2026-05-14,List 1
UFLPA-072,Aksu Textile Group Holdings,Aksu Industrial Park,Aksu,Xinjiang,CN,Textiles,2026-05-14,List 1
UFLPA-073,Xinjiang International Trading Co. Ltd.,Urumqi Trade Center,Urumqi,Xinjiang,CN,Trading,2026-05-14,List 1
UFLPA-074,Hotan Tianshan Mining Co. Ltd.,Hotan Industrial Park,Hotan,Xinjiang,CN,Mining,2026-05-14,List 4
UFLPA-075,Korla Industrial Yarn Holdings,Korla Industrial Park,Korla,Xinjiang,CN,Yarn,2026-05-14,List 1
UFLPA-076,Xinjiang Lanzhou Petrochemical Branch,Karamay Industrial Park,Karamay,Xinjiang,CN,Petrochemicals,2026-05-14,List 4
UFLPA-077,Xinjiang Yarn Industrial Group,Urumqi Industrial Park,Urumqi,Xinjiang,CN,Yarn/Textiles,2026-05-14,List 1
UFLPA-078,Xinjiang Hami Tianshan Mining Co. Ltd.,Hami Industrial Park,Hami,Xinjiang,CN,Mining,2026-05-14,List 4
UFLPA-079,Hetian Pomegranate Garments Co. Ltd.,Hetian Industrial Park,Hetian,Xinjiang,CN,Garments,2026-05-14,List 1
UFLPA-080,Aksu Tianshan Logistics Co. Ltd.,Aksu Industrial Park,Aksu,Xinjiang,CN,Logistics,2026-05-14,List 1
